Employee ID|Division|Operating Unit|Salary|State|Start Date|Division|Dept|Overtime Pay
138311|Tasty New York|Tasty Biscuits| $28,334.00 |NJ|4/18/2001|3350|2000| -   
390|Tasty New York|IT Services| $56,555.00 |NY|8/20/2011|3810|3000| -   
138661|Tasty New York|Tasty Soups| $26,887.00 |NJ|6/19/2002|3364|2300| -   
138707|Tasty New York|Tasty Soups| $29,678.42 |NJ|9/11/2002|3364|2500| -   
548|Tasty New York|IT Services| $168,449.00 |CT|1/17/1996|3810|5000| -   
574|Tasty New York|IT Services| $38,917.00 |NY|4/6/2005|3810|4000| -   
601|Tasty New York|IT Services| $79,585.00 |NY|9/1/1999|3810|3000| -   
138795|Tasty New York|Tasty Biscuits| $25,990.00 |NJ|7/11/2011|3338|2000| -   
52250|Tasty New York|Luxury Treats| $100,507.00 |CT|2/28/1951|3360|5000| 2,010 
53024|Tasty New York|Luxury Treats| $193,565.00 |NY|6/28/1967|3360|4000| 29,035 
53725|Tasty New York|Tasty Biscuits| $186,310.00 |NY|3/18/1959|3361|3000| -   
53873|Tasty New York|Luxury Treats| $108,307.00 |NY|5/9/1962|3360|3000| -   
53725|Tasty New York|Tasty Biscuits| $186,310.00 |NY|3/18/1959|3361|3000| -   
53725|Tasty New York|Tasty Biscuits| $186,310.00 |NY|3/18/1959|3361|3000| -   
53921|Tasty New York|Luxury Treats| $111,118.00 |NY|9/1/1954|3360|3000| 16,668 
54133|Tasty New York|Tasty Bizkits| $72,242.00 |NY|8/13/1958|3361|3000| 14,448 
61908|Tasty New York|Luxury Treats| $39,207.30 |CT|3/14/1973|3360|5000| 1,960 
63032|Tasty New York|Luxury Treats| $168,154.00 |NY|2/13/1974|3360|4000| 30,268 
141084|Tasty New York|Tasty Soups| $23,874.15 |NJ|2/23/2005|3364|2500| -   
78018|Tasty New York|Luxury Treats| $299,552.00 |NY|6/14/1978|3360|4000| -   
79912|Tasty New York|Luxury Treats| $83,266.00 |WA|2/21/1979|3360|6000| 12,490 
86077|Tasty New York|Luxury Treats| $35,414.00 |NJ|1/18/1984|3360|7000| -   
86134|Tasty New York|Tasty Biscuits| $134,816.00 |NY|6/24/1981|3338|1005| 18,874 
142697|Tasty New York|Tasty Soups| $26,745.00 |NJ|4/19/2006|3364|2500| -   
432|Tasty New York|IT Services| $38,458.00 |NJ|4/18/2001|3810|2000| -   
95088|Tasty New York|Tasty Soups| $138,721.00 |NY|2/10/1988|3501|3000| -   
95284|Tasty New York|Tasty Snacks Food| $123,906.00 |NY|6/12/1985|3339|3152| 18,586 
98249|Tasty New York|Luxury Treats| $69,237.00 |CT|9/19/1979|3360|1600| 10,386 
98427|Tasty New York|Marketing| $137,842.00 |NY|9/24/1958|3352|1001| -   
100162|Tasty New York|Tasty Snacks Food| $80,716.00 |WA|6/3/1987|3340|2150| 11,300 
536|Tasty New York|IT Services| $45,498.00 |NJ|7/19/2006|3810|2000| -   
100402|Tasty New York|Tasty Snacks Food| $106,290.00 |WA|3/19/1997|3340|2150| 15,944 
126713|Tasty New York|Plant Support Services| $40,113.00 |NJ|10/7/1987|3344|3000| -   
137699|Tasty New York|Finance| $39,780.00 |NJ|12/26/2001|3310|2000| -   
138375|Tasty New York|Plant Support Services| $52,385.00 |NJ|2/26/2003|3344|1001| -   
147366|Tasty New York|Tasty Snacks Food| $749,564.00 |NJ|8/2/2013|3342|1001| -   
100522|Tasty New York|Tasty Snacks Food| $171,600.00 |NJ|3/10/1999|3340|2150| -   
103910|Tasty New York|Luxury Treats| $234,050.00 |NY|9/17/1986|3360|3000| -   
100622|Tasty New York|Finance| $100,272.00 |NJ|9/1/1999|3310|2000| -   
